"","variable_prob","cs","tissues","GENE"
"1",1,1,"Whole_Blood","EXOC3L2"
"2",0.999999999999895,2,"Adipose_Subcutaneous","EXOC3L2"
"3",0.999983884715123,4,"Testis","EXOC3L2"
"4",0.99331197930288,3,"Heart_Left_Ventricle","EXOC3L2"
"5",1,1,"Uterus","CLASRP"
"6",0.999999998239072,2,"Thyroid","CLASRP"
"7",0.999999978068364,3,"Whole_Blood","CLASRP"
"8",0.999998049713253,4,"Skin_Not_Sun_Exposed_Suprapubic","CLASRP"
"9",1,1,"Brain_Amygdala","TRAPPC6A"
"10",1,3,"Brain_Cortex","TRAPPC6A"
"11",1,2,"Colon_Transverse","TRAPPC6A"
"12",0.999999999999805,4,"Nerve_Tibial","TRAPPC6A"
"13",1,1,"Testis","NKPD1"
"14",1,2,"Whole_Blood","NKPD1"
"15",0.999999999999999,3,"Adipose_Visceral_Omentum","NKPD1"
"16",1,2,"Liver","CEACAM19"
"17",1,1,"Testis","CEACAM19"
"18",0.999999999847653,3,"Artery_Tibial","CEACAM19"
"19",0.999976317046258,4,"Muscle_Skeletal","CEACAM19"
"20",1,1,"Brain_Amygdala","CD3EAP"
"21",0.999999999999997,2,"Brain_Putamen_basal_ganglia","CD3EAP"
"22",0.999999999999879,3,"Uterus","CD3EAP"
"23",0.999987144964144,4,"Prostate","CD3EAP"
"24",0.999999999949643,1,"Whole_Blood","MS4A3"
"25",1,2,"Skin_Not_Sun_Exposed_Suprapubic","BLOC1S3"
"26",1,1,"Ovary","BLOC1S3"
"27",0.999996868395147,3,"Brain_Nucleus_accumbens_basal_ganglia","BLOC1S3"
"28",0.999987497469254,4,"Brain_Substantia_nigra","BLOC1S3"
"29",0.501104871546523,2,"Brain_Frontal_Cortex_BA9","MS4A6A"
"30",0.378621339129379,2,"Testis","MS4A6A"
"31",0.272030477145437,2,"Whole_Blood","MS4A6A"
"32",1,1,"Testis","BCL3"
"33",1,2,"Brain_Caudate_basal_ganglia","BCL3"
"34",0.999999980813307,4,"Esophagus_Mucosa","BCL3"
"35",0.999999871574621,3,"Cells_EBV-transformed_lymphocytes","BCL3"
"36",0.965631789470103,1,"Testis","INPP5D"
"37",0.986775213781495,2,"Brain_Anterior_cingulate_cortex_BA24","GAL3ST4"
"38",0.561392939208663,1,"Breast_Mammary_Tissue","GAL3ST4"
"39",0.41611457771363,1,"Whole_Blood","GAL3ST4"
"40",0.704644024559322,1,"Whole_Blood","CASS4"
"41",0.37703849320124,1,"Cells_Transformed_fibroblasts","CASS4"
"42",0.990736980050817,2,"Small_Intestine_Terminal_Ileum","EPHA1-AS1"
"43",0.545331318006392,1,"Spleen","EPHA1-AS1"
"44",0.304823913761251,1,"Adipose_Subcutaneous","EPHA1-AS1"
"45",0.203659402467075,1,"Nerve_Tibial","EPHA1-AS1"
"46",0.147317191899549,1,"Adipose_Visceral_Omentum","EPHA1-AS1"
"47",0.999999714064644,2,"Skin_Sun_Exposed_Lower_leg","GPR4"
"48",0.999998556119616,1,"Testis","GPR4"
"49",0.999998388250473,3,"Whole_Blood","GPR4"
"50",0.186340482906803,1,"Skin_Not_Sun_Exposed_Suprapubic","HLA-DQA2"
"51",0.183046319882051,1,"Esophagus_Gastroesophageal_Junction","HLA-DQA2"
"52",0.128642686008753,1,"Heart_Atrial_Appendage","HLA-DQA2"
"53",0.0923663954821393,1,"Lung","HLA-DQA2"
"54",0.0592843371588231,1,"Brain_Hippocampus","HLA-DQA2"
"55",0.0533924758146223,1,"Heart_Left_Ventricle","HLA-DQA2"
"56",0.0417286676251891,1,"Esophagus_Muscularis","HLA-DQA2"
"57",0.0354208488228994,1,"Brain_Substantia_nigra","HLA-DQA2"
"58",0.0326814650322224,1,"Brain_Nucleus_accumbens_basal_ganglia","HLA-DQA2"
"59",0.0211928982411664,1,"Adrenal_Gland","HLA-DQA2"
"60",0.0169658739119248,1,"Minor_Salivary_Gland","HLA-DQA2"
"61",0.0161667686323052,1,"Vagina","HLA-DQA2"
"62",0.0155625828700391,1,"Thyroid","HLA-DQA2"
"63",0.0153447288381545,1,"Brain_Cerebellar_Hemisphere","HLA-DQA2"
